id_produto,quantidade_requisitada,urgencia,pedido_recorrente,data_pedido
1,120,alta,sim,2025-04-19
2,300,media,não,2025-04-18
3,50,baixa,sim,2025-04-17
4,200,alta,não,2025-04-16
5,150,media,sim,2025-04-15
6,75,baixa,não,2025-04-14
7,180,alta,sim,2025-04-13
8,210,media,não,2025-04-12
9,95,baixa,sim,2025-04-11
10,170,alta,sim,2025-04-10
1,60,media,não,2025-04-09
2,80,baixa,sim,2025-04-08
3,240,alta,sim,2025-04-07
4,130,media,não,2025-04-06
5,70,baixa,sim,2025-04-05
6,160,alta,não,2025-04-04
7,300,media,sim,2025-04-03
8,90,baixa,não,2025-04-02
9,110,alta,sim,2025-04-01
10,140,media,sim,2025-03-31
